Airlines,Total_Stops,Price,Duration,Destination,Date
"Transavia France, Air Europa",1,105 €,9h 30min,MAD,2025-06-19
"Transavia France, Iberia",1,107 €,8h 45min,MAD,2025-06-19
"Transavia France, Air Europa",1,120 €,6h 40min,MAD,2025-06-19
"ITA Airways, Ryanair",1,158 €,5h 10min,MAD,2025-06-19
"Tunisair, Transavia France",1,142 €,5h 55min,MAD,2025-06-19
"Nouvelair, Transavia France",1,116 €,7h 55min,MAD,2025-06-19
"Tunisair, Transavia France",1,130 €,6h 50min,MAD,2025-06-19
"Tunisair, Ryanair",1,164 €,5h 25min,MAD,2025-06-19
ITA Airways,1,154 €,5h 45min,MAD,2025-06-19
"Transavia France, Iberia",1,154 €,5h 40min,MAD,2025-06-19
"Transavia France, Air Europa",1,131 €,6h 55min,MAD,2025-06-19
"Tunisair, Air Europa",1,161 €,5h 35min,MAD,2025-06-19
"Nouvelair, Iberia",1,117 €,8h 25min,MAD,2025-06-19
"Nouvelair, Brussels Airlines",1,133 €,7h 20min,MAD,2025-06-19
"Tunisair, Iberia Express",1,118 €,8h 40min,MAD,2025-06-19
"ITA Airways, Iberia",1,160 €,5h 55min,MAD,2025-06-19
Air France,1,209 €,6h 35min,MAD,2025-06-19
Air France,1,544 €,10h 30min,COO,2025-06-19
Air France,1,481 €,10h 30min,COO,2025-06-19
"Transavia France, Royal Air Maroc",2,455 €,43h 00min,COO,2025-06-19
Air France,1,481 €,14h 50min,COO,2025-06-19
Turkish Airlines,2,499 €,15h 20min,COO,2025-06-19
"ITA Airways, Ethiopian Air",2,627 €,18h 05min,COO,2025-06-19
"Transavia France, Corsair",1,731 €,11h 10min,COO,2025-06-19
"Nouvelair, Corsair",1,751 €,12h 50min,COO,2025-06-19
"Tunisair, Corsair",1,746 €,13h 30min,COO,2025-06-19
"Transavia France, Corsair",1,724 €,14h 50min,COO,2025-06-19
"Nouvelair, Air France",1,858 €,13h 20min,COO,2025-06-19
Plusieurs compagnies,2,911 €,13h 50min,COO,2025-06-19
Plusieurs compagnies,2,823 €,18h 40min,COO,2025-06-19
"Aegean Airlines, Corsair",2,910 €,18h 40min,COO,2025-06-19
"Aegean Airlines, Air France",2,924 €,19h 10min,COO,2025-06-19
"Lufthansa, Air France",3,910 €,18h 30min,COO,2025-06-19
"Lufthansa, Air France",3,910 €,18h 30min,COO,2025-06-19
"Lufthansa, Air France",3,910 €,18h 30min,COO,2025-06-19
"Tunisair, Ryanair",1,114 €,4h 35min,CRL,2025-06-19
"Nouvelair, Ryanair",1,101 €,13h 20min,CRL,2025-06-19
Air France,1,123 €,5h 41min,CRL,2025-06-19
"Nouvelair, Ryanair",1,102 €,7h 10min,CRL,2025-06-19
"Tunisair, Ryanair",1,109 €,12h 25min,CRL,2025-06-19
"Tunisair, Ryanair",1,114 €,10h 50min,CRL,2025-06-19
"Transavia France, Wizz Air",2,160 €,11h 20min,CRL,2025-06-19
Plusieurs compagnies,2,163 €,10h 00min,CRL,2025-06-19
Plusieurs compagnies,2,166 €,10h 20min,CRL,2025-06-19
"Tunisair, Ryanair",2,184 €,10h 10min,CRL,2025-06-19
"Tunisair, Ryanair",2,186 €,9h 50min,CRL,2025-06-19
"Tunisair Express, Ryanair",1,207 €,9h 05min,CRL,2025-06-19
"Tunisair, Wizz Air",2,167 €,11h 50min,CRL,2025-06-19
"Aegean Airlines, Ryanair",2,134 €,11h 50min,CRL,2025-06-19
"Aegean Airlines, Wizz Air",2,150 €,11h 45min,CRL,2025-06-19
"Vueling, Ryanair",1,118 €,13h 30min,CRL,2025-06-19
"ITA Airways, Ryanair",2,200 €,11h 20min,CRL,2025-06-19
Plusieurs compagnies,2,131 €,14h 55min,CRL,2025-06-19
"Aegean Airlines, Ryanair",2,156 €,12h 20min,CRL,2025-06-19
"Aegean Airlines, Wizz Air",2,185 €,13h 55min,CRL,2025-06-19
"Aegean Airlines, Wizz Air",2,231 €,11h 55min,CRL,2025-06-19
"Aegean Airlines, Pegasus Airlines",2,230 €,14h 25min,CRL,2025-06-19
"Eurowings, Ryanair",2,287 €,11h 50min,CRL,2025-06-19
"Eurowings, Ryanair",2,330 €,11h 25min,CRL,2025-06-19
"Eurowings, Ryanair",2,359 €,10h 20min,CRL,2025-06-19
"Aegean Airlines, Volotea",2,250 €,15h 40min,CRL,2025-06-19
Plusieurs compagnies,2,251 €,16h 50min,CRL,2025-06-19
Plusieurs compagnies,3,374 €,12h 15min,CRL,2025-06-19
Plusieurs compagnies,2,305 €,16h 50min,CRL,2025-06-19
Plusieurs compagnies,3,373 €,13h 55min,CRL,2025-06-19
Air France,1,123 €,5h 41min,ANR,2025-06-19
"Vueling, TUI Fly Belgium",2,310 €,16h 00min,ANR,2025-06-19
Plusieurs compagnies,2,914 €,16h 00min,ANR,2025-06-19
"Vueling, TUI Fly Belgium",3,214 €,24h 25min,OST,2025-06-19
"Vueling, TUI Fly Belgium",3,214 €,24h 25min,OST,2025-06-19
"Vueling, TUI Fly Belgium",2,294 €,24h 25min,OST,2025-06-19
Plusieurs compagnies,2,288 €,27h 15min,OST,2025-06-19
"Vueling, TUI Fly Belgium",3,250 €,24h 25min,OST,2025-06-19
"Vueling, TUI Fly Belgium",3,259 €,24h 25min,OST,2025-06-19
"Transavia France, TUI Fly Belgium",3,254 €,27h 15min,OST,2025-06-19
"Vueling, TUI Fly Belgium",2,315 €,24h 25min,OST,2025-06-19
Plusieurs compagnies,2,303 €,30h 10min,OST,2025-06-19
"Vueling, TUI Fly Belgium",2,328 €,24h 25min,OST,2025-06-19
"Vueling, TUI Fly Belgium",3,280 €,24h 25min,OST,2025-06-19
Plusieurs compagnies,3,273 €,27h 15min,OST,2025-06-19
Plusieurs compagnies,3,283 €,24h 25min,OST,2025-06-19
"Turkish Airlines, TUI Fly Belgium",2,422 €,29h 20min,OST,2025-06-19
"Qatar Airways, TUI Fly Belgium",2,786 €,23h 40min,OST,2025-06-19
"Royal Air Maroc, TUI Fly Belgium",2,400 €,29h 10min,OST,2025-06-19
Aegean Airlines,1,89 €,7h 30min,LUX,2025-06-19
Aegean Airlines,1,89 €,7h 30min,LUX,2025-06-19
Air France,1,126 €,7h 20min,LUX,2025-06-19
"Nouvelair, Luxair",1,133 €,5h 50min,LUX,2025-06-19
Lufthansa,1,228 €,3h 50min,LUX,2025-06-19
Lufthansa,1,199 €,5h 10min,LUX,2025-06-19
"Transavia France, Luxair",1,124 €,7h 50min,LUX,2025-06-19
Lufthansa,1,160 €,6h 50min,LUX,2025-06-19
"Tunisair, Luxair",1,141 €,7h 10min,LUX,2025-06-19
"Tunisair, Luxair",1,150 €,6h 30min,LUX,2025-06-19
Air France,1,137 €,14h 50min,LUX,2025-06-19
"Nouvelair, Ryanair",2,124 €,10h 55min,LUX,2025-06-19
"Tunisair, Ryanair",1,146 €,8h 35min,LUX,2025-06-19
Turkish Airlines,1,276 €,8h 15min,LUX,2025-06-19
Lufthansa,1,215 €,7h 20min,LUX,2025-06-19
"Tunisair, Luxair",1,234 €,6h 50min,LUX,2025-06-19
"Tunisair, Luxair",1,141 €,14h 50min,LUX,2025-06-19
Lufthansa,1,215 €,10h 55min,LUX,2025-06-19
"Transavia France, Luxair",1,134 €,15h 05min,LUX,2025-06-19
"Lufthansa, Air Dolomiti",1,249 €,7h 20min,LUX,2025-06-19
"Nouvelair, Luxair",1,209 €,7h 25min,LUX,2025-06-19
Plusieurs compagnies,2,140 €,10h 40min,LUX,2025-06-19
Plusieurs compagnies,2,143 €,10h 40min,LUX,2025-06-19
"Tunisair, Luxair",1,209 €,8h 05min,LUX,2025-06-19
"Tunisair, British Airways",1,164 €,12h 00min,LUX,2025-06-19
KLM,2,186 €,9h 40min,LUX,2025-06-19
"Tunisair, Luxair",1,306 €,6h 35min,LUX,2025-06-19
KLM,2,186 €,11h 35min,LUX,2025-06-19
Plusieurs compagnies,2,168 €,11h 15min,LUX,2025-06-19
"Tunisair, Luxair",1,223 €,9h 20min,LUX,2025-06-19
"Tunisair, ITA Airways",1,243 €,8h 05min,LUX,2025-06-19
Egyptair,1,346 €,24h 10min,NDJ,2025-06-19
Egyptair,1,339 €,24h 10min,NDJ,2025-06-19
Turkish Airlines,2,438 €,16h 35min,NDJ,2025-06-19
Turkish Airlines,2,438 €,26h 15min,NDJ,2025-06-19
"ITA Airways, Ethiopian Air",2,579 €,18h 00min,NDJ,2025-06-19
Air France,2,529 €,26h 55min,NDJ,2025-06-19
"ITA Airways, Ethiopian Air",2,581 €,25h 45min,NDJ,2025-06-19
"Tunisair, Egyptair",2,701 €,17h 15min,NDJ,2025-06-19
"Transavia France, Ethiopian Air",2,656 €,24h 40min,NDJ,2025-06-19
"Turkish Airlines, Egyptair",2,725 €,17h 35min,NDJ,2025-06-19
"Nouvelair, Egyptair",2,660 €,20h 55min,NDJ,2025-06-19
"Transavia France, Ethiopian Air",2,640 €,27h 30min,NDJ,2025-06-19
"Tunisair, Egyptair",2,828 €,17h 15min,NDJ,2025-06-19
"Transavia France, Egyptair",2,659 €,23h 55min,NDJ,2025-06-19
"Nouvelair, Turkish Airlines",2,796 €,19h 45min,NDJ,2025-06-19
"Turkish Airlines, Egyptair",2,863 €,17h 35min,NDJ,2025-06-19
"Tunisair, Egyptair",2,1 241 €,19h 50min,NDJ,2025-06-19
"Transavia France, Egyptair",2,642 €,26h 45min,NDJ,2025-06-19
"Transavia France, Egyptair",2,643 €,26h 45min,NDJ,2025-06-19
"Tunisair, Egyptair",2,660 €,25h 40min,NDJ,2025-06-19
"Egyptair, Ethiopian Air",2,746 €,24h 55min,NDJ,2025-06-19
"Tunisair, Egyptair",2,637 €,28h 05min,NDJ,2025-06-19
"Egyptair, Ethiopian Air",2,769 €,24h 55min,NDJ,2025-06-19
"Transavia France, Egyptair",3,669 €,23h 55min,NDJ,2025-06-19
"Lufthansa, Egyptair",2,1 018 €,24h 05min,NDJ,2025-06-19
Plusieurs compagnies,3,726 €,22h 20min,NDJ,2025-06-19
Plusieurs compagnies,3,750 €,21h 40min,NDJ,2025-06-19
"Transavia France, Egyptair",3,654 €,26h 45min,NDJ,2025-06-19
"Transavia France, Egyptair",3,653 €,27h 40min,NDJ,2025-06-19
"Air France, Egyptair",2,780 €,23h 40min,NDJ,2025-06-19
"ITA Airways, Egyptair",3,694 €,25h 00min,NDJ,2025-06-19
Royal Air Maroc,1,229 €,11h 45min,ABJ,2025-06-19
Royal Air Maroc,1,229 €,11h 45min,ABJ,2025-06-19
Tunisair,1,325 €,7h 15min,ABJ,2025-06-19
Royal Air Maroc,1,231 €,17h 55min,ABJ,2025-06-19
Turkish Airlines,1,359 €,12h 15min,ABJ,2025-06-19
Air France,1,354 €,10h 40min,ABJ,2025-06-19
Air France,1,354 €,12h 35min,ABJ,2025-06-19
Air France,1,354 €,14h 05min,ABJ,2025-06-19
Qatar Airways,1,798 €,16h 20min,ABJ,2025-06-19
Air France,1,368 €,16h 55min,ABJ,2025-06-19
"Tunisair, Royal Air Maroc",2,486 €,14h 10min,ABJ,2025-06-19
"Transavia France, Corsair",1,872 €,11h 00min,ABJ,2025-06-19
"Egyptair, Royal Air Maroc",2,605 €,18h 30min,ABJ,2025-06-19
"Tunisair, Corsair",1,869 €,12h 45min,ABJ,2025-06-19
"Transavia France, Royal Air Maroc",2,479 €,18h 15min,ABJ,2025-06-19
"Transavia France, Royal Air Maroc",2,479 €,18h 15min,ABJ,2025-06-19
"Transavia France, Royal Air Maroc",2,481 €,18h 15min,ABJ,2025-06-19
"Transavia France, Corsair",1,857 €,13h 50min,ABJ,2025-06-19
Lufthansa,3,652 €,17h 50min,ABJ,2025-06-19
Lufthansa,3,650 €,17h 50min,ABJ,2025-06-19
"Tunisair, Air France",2,688 €,15h 35min,ABJ,2025-06-19
"Tunisair, Royal Air Maroc",2,641 €,16h 40min,ABJ,2025-06-19
"Air France, Royal Air Maroc",2,605 €,18h 00min,ABJ,2025-06-19
Transavia France,0,29 €,2h 35min,PAR,2025-06-19
Transavia France,0,29 €,2h 35min,PAR,2025-06-19
Nouvelair,0,33 €,2h 35min,PAR,2025-06-19
Transavia France,0,29 €,2h 35min,PAR,2025-06-19
Nouvelair,0,33 €,2h 35min,PAR,2025-06-19
Nouvelair,0,33 €,2h 35min,PAR,2025-06-19
Transavia France,0,43 €,2h 35min,PAR,2025-06-19
Tunisair,0,52 €,2h 25min,PAR,2025-06-19
Transavia France,0,43 €,2h 35min,PAR,2025-06-19
Tunisair,0,52 €,2h 25min,PAR,2025-06-19
Tunisair,0,52 €,2h 25min,PAR,2025-06-19
Tunisair,0,60 €,2h 20min,PAR,2025-06-19
Air France,0,94 €,2h 40min,PAR,2025-06-19
Air France,0,94 €,2h 40min,PAR,2025-06-19
Air France,0,94 €,2h 35min,PAR,2025-06-19
Air France,0,94 €,2h 35min,PAR,2025-06-19
"Tunisair, Transavia France",1,101 €,5h 35min,PAR,2025-06-19
"Tunisair, Vueling",1,95 €,6h 45min,PAR,2025-06-19
"Aegean Airlines, Transavia France",1,108 €,7h 05min,PAR,2025-06-19
Aegean Airlines,1,103 €,8h 00min,PAR,2025-06-19
Aegean Airlines,1,91 €,11h 00min,PAR,2025-06-19
"Nouvelair, easyJet",1,105 €,5h 50min,PAR,2025-06-19
ITA Airways,1,167 €,4h 30min,PAR,2025-06-19
"Tunisair, easyJet",1,117 €,5h 35min,PAR,2025-06-19
"Tunisair, Transavia France",1,125 €,5h 50min,PAR,2025-06-19
"Nouvelair, easyJet",1,108 €,7h 40min,PAR,2025-06-19
"Tunisair Express, Transavia France",1,131 €,6h 20min,PAR,2025-06-19
Vueling,1,117 €,10h 25min,PAR,2025-06-19
"Tunisair Express, Nouvelair",1,133 €,6h 50min,PAR,2025-06-19
"Tunisair, easyJet",1,111 €,8h 15min,PAR,2025-06-19
"Tunisair, Air France",1,159 €,5h 10min,PAR,2025-06-19
Air Algerie,0,114 €,1h 20min,ALG,2025-06-19
Tunisair,0,113 €,1h 20min,ALG,2025-06-19
Tunisair,0,113 €,1h 20min,ALG,2025-06-19
Air Algerie,0,114 €,1h 20min,ALG,2025-06-19
Air Algerie,0,114 €,1h 20min,ALG,2025-06-19
Transavia France,1,170 €,9h 30min,ALG,2025-06-19
Transavia France,1,172 €,6h 55min,ALG,2025-06-19
Transavia France,1,153 €,9h 45min,ALG,2025-06-19
"Tunisair, Transavia France",1,183 €,7h 00min,ALG,2025-06-19
"Tunisair, Vueling",1,183 €,5h 45min,ALG,2025-06-19
"Tunisair, Vueling",2,131 €,16h 00min,ALG,2025-06-19
Transavia France,1,153 €,13h 25min,ALG,2025-06-19
"Tunisair, Air Algerie",1,203 €,5h 20min,ALG,2025-06-19
Transavia France,1,153 €,13h 55min,ALG,2025-06-19
"Tunisair, Transavia France",1,183 €,8h 40min,ALG,2025-06-19
Transavia France,1,168 €,11h 05min,ALG,2025-06-19
"Nouvelair, Transavia France",1,182 €,7h 40min,ALG,2025-06-19
Turkish Airlines,1,308 €,9h 40min,ALG,2025-06-19
"Nouvelair, Transavia France",1,173 €,11h 25min,ALG,2025-06-19
Air France,1,330 €,6h 10min,ALG,2025-06-19
"Tunisair, Transavia France",1,178 €,10h 00min,ALG,2025-06-19
"Nouvelair, ITA Airways",2,174 €,9h 05min,ALG,2025-06-19
Turkish Airlines,1,308 €,11h 25min,ALG,2025-06-19
"Tunisair, ITA Airways",2,182 €,8h 55min,ALG,2025-06-19
"Transavia France, Air Algerie",1,276 €,6h 30min,ALG,2025-06-19
ITA Airways,1,289 €,4h 50min,ALG,2025-06-19
"Nouvelair, Vueling",2,174 €,11h 15min,ALG,2025-06-19
"Tunisair, Vueling",2,154 €,15h 00min,ALG,2025-06-19
"Tunisair, Vueling",2,154 €,15h 00min,ALG,2025-06-19
"Tunisair, Vueling",2,154 €,15h 00min,ALG,2025-06-19
Turkish Airlines,1,426 €,8h 00min,ALG,2025-06-19
Airlines,Total_Stops,Price,Duration,Destination,Date
Tunisair,0,82 €,2h 15min,MAD,2025-04-10
Tunisair,0,82 €,2h 15min,MAD,2025-04-10
Transavia France,1,118 €,7h 00min,MAD,2025-04-10
ITA Airways,1,178 €,4h 49min,MAD,2025-04-10
"Tunisair, Iberia",1,139 €,5h 40min,MAD,2025-04-10
"Tunisair, Transavia France",1,137 €,5h 55min,MAD,2025-04-10
"Transavia France, Iberia",1,124 €,6h 45min,MAD,2025-04-10
"Nouvelair, Iberia",1,124 €,6h 50min,MAD,2025-04-10
"Nouvelair, Transavia France",1,116 €,7h 55min,MAD,2025-04-10
Air France,1,174 €,6h 05min,MAD,2025-04-10
ITA Airways,1,178 €,5h 45min,MAD,2025-04-10
"Nouvelair, Transavia France",1,116 €,8h 40min,MAD,2025-04-10
"Nouvelair, Iberia",1,117 €,8h 25min,MAD,2025-04-10
"Tunisair, Transavia France",1,131 €,6h 50min,MAD,2025-04-10
"Tunisair, Ryanair",1,163 €,5h 25min,MAD,2025-04-10
"Transavia France, easyJet",1,116 €,10h 25min,MAD,2025-04-10
"Tunisair, Iberia",1,134 €,7h 25min,MAD,2025-04-10
Air France,1,200 €,6h 35min,MAD,2025-04-10
Transavia France,1,139 €,10h 55min,MAD,2025-04-10
"Tunisair, Iberia",1,164 €,5h 40min,MAD,2025-04-10
"Nouvelair, Iberia",1,179 €,5h 25min,MAD,2025-04-10
"ITA Airways, Ryanair",1,195 €,5h 10min,MAD,2025-04-10
"Tunisair, Iberia",1,153 €,6h 40min,MAD,2025-04-10
"Tunisair, Transavia France",1,131 €,9h 20min,MAD,2025-04-10
"Tunisair, easyJet",1,131 €,9h 20min,MAD,2025-04-10
"Transavia France, Iberia",1,177 €,5h 40min,MAD,2025-04-10
"Nouvelair, Volotea",1,135 €,8h 30min,MAD,2025-04-10
"Tunisair, Air Europa",1,191 €,5h 35min,MAD,2025-04-10
"Tunisair, Air Europa",1,184 €,5h 50min,MAD,2025-04-10
"Tunisair, Iberia",1,171 €,6h 10min,MAD,2025-04-10
"Tunisair, Iberia",1,139 €,9h 05min,MAD,2025-04-10
Air France,1,478 €,10h 30min,COO,2025-04-10
Air France,1,478 €,10h 30min,COO,2025-04-10
"Tunisair, Ethiopian Air",2,469 €,22h 30min,COO,2025-04-10
Air France,1,478 €,14h 50min,COO,2025-04-10
Turkish Airlines,2,499 €,15h 20min,COO,2025-04-10
Turkish Airlines,2,499 €,25h 00min,COO,2025-04-10
"ITA Airways, Ethiopian Air",2,627 €,18h 05min,COO,2025-04-10
"Transavia France, Corsair",1,696 €,11h 10min,COO,2025-04-10
"Nouvelair, Corsair",1,752 €,12h 50min,COO,2025-04-10
"Tunisair, Corsair",1,745 €,13h 30min,COO,2025-04-10
"Nouvelair, Air France",1,858 €,13h 20min,COO,2025-04-10
Plusieurs compagnies,2,929 €,13h 50min,COO,2025-04-10
"Nouvelair, Air France",2,771 €,15h 20min,COO,2025-04-10
"Tunisair, Ryanair",1,114 €,4h 35min,CRL,2025-04-10
"Tunisair, Ryanair",1,109 €,20h 00min,CRL,2025-04-10
Air France,1,123 €,5h 41min,CRL,2025-04-10
"Nouvelair, Ryanair",1,113 €,7h 10min,CRL,2025-04-10
"Tunisair, Ryanair",1,114 €,10h 50min,CRL,2025-04-10
Plusieurs compagnies,2,152 €,10h 00min,CRL,2025-04-10
"Tunisair, Ryanair",2,221 €,9h 50min,CRL,2025-04-10
"Transavia France, Ryanair",2,214 €,10h 25min,CRL,2025-04-10
"ITA Airways, Ryanair",2,317 €,9h 00min,CRL,2025-04-10
Plusieurs compagnies,2,245 €,9h 50min,CRL,2025-04-10
"Eurowings, Ryanair",2,207 €,10h 20min,CRL,2025-04-10
"Tunisair, Ryanair",1,160 €,12h 25min,CRL,2025-04-10
"Tunisair, Wizz Air",2,200 €,11h 35min,CRL,2025-04-10
"Tunisair, Ryanair",2,220 €,11h 25min,CRL,2025-04-10
Plusieurs compagnies,2,214 €,11h 35min,CRL,2025-04-10
Plusieurs compagnies,2,207 €,12h 10min,CRL,2025-04-10
"ITA Airways, Ryanair",2,266 €,11h 20min,CRL,2025-04-10
Plusieurs compagnies,2,215 €,12h 25min,CRL,2025-04-10
"Tunisair, Ryanair",2,174 €,13h 10min,CRL,2025-04-10
"Lufthansa, Wizz Air",2,492 €,8h 15min,CRL,2025-04-10
"ITA Airways, Ryanair",2,184 €,13h 35min,CRL,2025-04-10
Plusieurs compagnies,2,194 €,13h 55min,CRL,2025-04-10
"ITA Airways, Wizz Air",2,283 €,12h 45min,CRL,2025-04-10
Plusieurs compagnies,2,143 €,14h 55min,CRL,2025-04-10
"Air France, Volotea",2,305 €,11h 20min,CRL,2025-04-10
"Lufthansa, Ryanair",2,411 €,10h 35min,CRL,2025-04-10
"Air France, Volotea",2,370 €,11h 20min,CRL,2025-04-10
Plusieurs compagnies,3,492 €,11h 35min,CRL,2025-04-10
"Turkish Airlines, Pegasus Airlines",1,294 €,15h 20min,CRL,2025-04-10
"Turkish Airlines, Wizz Air",2,416 €,14h 50min,CRL,2025-04-10
Air France,1,123 €,5h 41min,ANR,2025-04-10
"Eurowings, TUI Fly Belgium",2,485 €,15h 05min,ANR,2025-04-10
Plusieurs compagnies,3,318 €,21h 50min,OST,2025-04-10
"Royal Air Maroc, TUI Fly Belgium",2,446 €,29h 55min,OST,2025-04-10
"Turkish Airlines, TUI Fly Belgium",2,464 €,30h 05min,OST,2025-04-10
"Royal Air Maroc, TUI Fly Belgium",2,466 €,41h 55min,OST,2025-04-10
"Turkish Airlines, TUI Fly Belgium",2,486 €,42h 05min,OST,2025-04-10
Air France,1,131 €,7h 20min,LUX,2025-04-10
Air France,1,131 €,7h 20min,LUX,2025-04-10
"Tunisair, Ryanair",1,106 €,25h 55min,LUX,2025-04-10
Lufthansa,1,195 €,3h 50min,LUX,2025-04-10
"Nouvelair, Luxair",1,133 €,5h 50min,LUX,2025-04-10
Lufthansa,1,141 €,6h 50min,LUX,2025-04-10
"Tunisair, Luxair",1,154 €,6h 30min,LUX,2025-04-10
"Tunisair, Luxair",1,142 €,8h 05min,LUX,2025-04-10
"Tunisair, Luxair",1,187 €,6h 50min,LUX,2025-04-10
Turkish Airlines,1,276 €,8h 15min,LUX,2025-04-10
KLM,2,168 €,7h 05min,LUX,2025-04-10
KLM,2,168 €,7h 20min,LUX,2025-04-10
"Tunisair, Luxair",1,153 €,9h 50min,LUX,2025-04-10
"Tunisair, ITA Airways",1,202 €,8h 05min,LUX,2025-04-10
"Tunisair, Luxair",1,231 €,7h 10min,LUX,2025-04-10
"Tunisair, Luxair",1,157 €,13h 50min,LUX,2025-04-10
"Tunisair, Ryanair",1,214 €,8h 35min,LUX,2025-04-10
"Nouvelair, Air France",1,326 €,5h 50min,LUX,2025-04-10
"Air France, Luxair",1,259 €,7h 20min,LUX,2025-04-10
"Tunisair, KLM",2,167 €,9h 55min,LUX,2025-04-10
"Tunisair, Luxair",1,306 €,6h 35min,LUX,2025-04-10
KLM,2,167 €,11h 25min,LUX,2025-04-10
"ITA Airways, SWISS",2,265 €,7h 00min,LUX,2025-04-10
KLM,2,168 €,11h 25min,LUX,2025-04-10
KLM,2,168 €,11h 25min,LUX,2025-04-10
KLM,2,168 €,11h 35min,LUX,2025-04-10
"Tunisair, ITA Airways",1,216 €,9h 50min,LUX,2025-04-10
KLM,2,192 €,9h 40min,LUX,2025-04-10
"Air France, KLM",2,303 €,7h 05min,LUX,2025-04-10
"Tunisair, Luxair",1,263 €,9h 20min,LUX,2025-04-10
KLM,2,214 €,9h 40min,LUX,2025-04-10
"Tunisair, Luxair",1,234 €,10h 45min,LUX,2025-04-10
Air France,2,407 €,26h 55min,NDJ,2025-04-10
Air France,2,406 €,26h 55min,NDJ,2025-04-10
Turkish Airlines,2,438 €,16h 35min,NDJ,2025-04-10
Egyptair,1,435 €,24h 10min,NDJ,2025-04-10
Air France,2,406 €,33h 55min,NDJ,2025-04-10
"Tunisair, Egyptair",1,644 €,13h 25min,NDJ,2025-04-10
Turkish Airlines,2,438 €,26h 15min,NDJ,2025-04-10
"ITA Airways, Ethiopian Air",2,555 €,18h 00min,NDJ,2025-04-10
"ITA Airways, Ethiopian Air",2,555 €,25h 45min,NDJ,2025-04-10
"Nouvelair, Ethiopian Air",2,674 €,21h 40min,NDJ,2025-04-10
"Transavia France, Ethiopian Air",2,679 €,24h 40min,NDJ,2025-04-10
"Egyptair, Ethiopian Air",2,659 €,24h 55min,NDJ,2025-04-10
"Tunisair, Egyptair",2,1 188 €,17h 15min,NDJ,2025-04-10
"Tunisair, Ethiopian Air",2,661 €,26h 25min,NDJ,2025-04-10
"Transavia France, Ethiopian Air",2,656 €,27h 30min,NDJ,2025-04-10
"Tunisair, Egyptair",2,1 473 €,17h 15min,NDJ,2025-04-10
"Nouvelair, Turkish Airlines",2,758 €,19h 45min,NDJ,2025-04-10
"Nouvelair, Turkish Airlines",3,688 €,19h 30min,NDJ,2025-04-10
"Egyptair, Ethiopian Air",2,727 €,24h 55min,NDJ,2025-04-10
"Tunisair, Egyptair",2,1 561 €,19h 50min,NDJ,2025-04-10
"Air France, Ethiopian Air",2,787 €,24h 25min,NDJ,2025-04-10
"Tunisair, Egyptair",2,1 612 €,21h 40min,NDJ,2025-04-10
"Air France, Ethiopian Air",2,787 €,26h 20min,NDJ,2025-04-10
"Tunisair, Egyptair",2,1 440 €,27h 35min,NDJ,2025-04-10
"Air France, Turkish Airlines",3,790 €,21h 00min,NDJ,2025-04-10
"Egyptair, Ethiopian Air",3,696 €,24h 55min,NDJ,2025-04-10
"Air France, Turkish Airlines",3,790 €,21h 00min,NDJ,2025-04-10
"Tunisair, Egyptair",2,1 561 €,25h 40min,NDJ,2025-04-10
"Air France, Turkish Airlines",2,793 €,28h 10min,NDJ,2025-04-10
"ITA Airways, Ethiopian Air",3,809 €,25h 45min,NDJ,2025-04-10
"Tunisair, Egyptair",2,1 612 €,27h 25min,NDJ,2025-04-10
Royal Air Maroc,1,234 €,11h 45min,ABJ,2025-04-10
Royal Air Maroc,1,231 €,11h 45min,ABJ,2025-04-10
Tunisair,1,322 €,7h 15min,ABJ,2025-04-10
Turkish Airlines,1,339 €,12h 15min,ABJ,2025-04-10
Royal Air Maroc,1,231 €,17h 55min,ABJ,2025-04-10
Royal Air Maroc,1,231 €,22h 45min,ABJ,2025-04-10
Turkish Airlines,1,339 €,21h 55min,ABJ,2025-04-10
Air France,1,549 €,10h 40min,ABJ,2025-04-10
Qatar Airways,1,798 €,16h 20min,ABJ,2025-04-10
Air France,1,549 €,12h 35min,ABJ,2025-04-10
"Tunisair, Royal Air Maroc",1,474 €,11h 00min,ABJ,2025-04-10
Air France,1,579 €,14h 05min,ABJ,2025-04-10
"Tunisair, Royal Air Maroc",2,486 €,14h 10min,ABJ,2025-04-10
Air France,1,572 €,16h 55min,ABJ,2025-04-10
"Transavia France, Corsair",1,894 €,11h 00min,ABJ,2025-04-10
"Transavia France, Royal Air Maroc",2,502 €,18h 15min,ABJ,2025-04-10
"Transavia France, Royal Air Maroc",2,504 €,18h 15min,ABJ,2025-04-10
"Transavia France, Royal Air Maroc",2,541 €,18h 15min,ABJ,2025-04-10
"Air France, Royal Air Maroc",2,600 €,18h 00min,ABJ,2025-04-10
Transavia France,0,43 €,2h 35min,PAR,2025-04-10
Nouvelair,0,35 €,2h 35min,PAR,2025-04-10
Nouvelair,0,35 €,2h 35min,PAR,2025-04-10
Nouvelair,0,35 €,2h 35min,PAR,2025-04-10
Transavia France,0,43 €,2h 35min,PAR,2025-04-10
Tunisair,0,54 €,2h 20min,PAR,2025-04-10
Transavia France,0,52 €,2h 35min,PAR,2025-04-10
Tunisair,0,54 €,2h 25min,PAR,2025-04-10
Tunisair,0,54 €,2h 25min,PAR,2025-04-10
Tunisair,0,54 €,2h 25min,PAR,2025-04-10
